Rank,Title,Score
1,"Fullmetal Alchemist: Brotherhood (64) 4/5/2009 - 7/4/2010,1176368,105387",9.25
2,"Gintama° (51) 4/8/2015 - 3/30/2016,194359,5597",9.16
3,"Steins;Gate (24) 4/6/2011 - 9/14/2011,990419,90365",9.14
4,"Ginga Eiyuu Densetsu (110) 1/8/1988 - 3/17/1997,121772,8370",9.11
5,"Gintama' (51) 4/4/2011 - 3/26/2012,212238,4533",9.11
6,"Hunter x Hunter (148) 10/2/2011 - 9/24/2014,705225,63324",9.11
7,"3-gatsu no Lion 2nd Season (22) 10/14/2017 - 3/31/2018,80166,1961",9.1
8,"Gintama': Enchousen (13) 10/4/2012 - 3/28/2013,121612,1498",9.07
9,"Owarimonogatari 2nd Season (7) 8/12/2017 - 8/13/2017,109651,2372",9.03
10,"Gintama. (12) 1/9/2017 - 3/27/2017,89409,1222",9.02
11,"Clannad: After Story (24) 10/3/2008 - 3/27/2009,599866,47076",9.01
12,"Gintama (201) 4/4/2006 - 3/25/2010,452486,33507",9.01
13,"Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou (10) 10/8/2016 - 12/10/2016,245797,4078",8.99
14,"Code Geass: Hangyaku no Lelouch R2 (25) 4/6/2008 - 9/28/2008,780346,43856",8.95
15,"Made in Abyss (13) 7/7/2017 - 9/29/2017,308918,11246",8.92
16,"Haikyuu!! Second Season (25) 10/4/2015 - 3/27/2016,326190,6480",8.88
17,"Shigatsu wa Kimi no Uso (22) 10/10/2014 - 3/20/2015,701954,38990",8.88
18,"Gintama.: Shirogane no Tamashii-hen (12) 1/8/2018 - 3/26/2018,39829,388",8.86
19,"Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen (12) 1/7/2017 - 3/25/2017,73103,1360",8.87
20,"Mushishi Zoku Shou 2nd Season (10) 10/19/2014 - 12/21/2014,116262,693",8.83
21,"Cowboy Bebop (26) 4/3/1998 - 4/24/1999,695231,38654",8.81
22,"Hajime no Ippo (75) 10/4/2000 - 3/27/2002,225314,10649",8.8
23,"Code Geass: Hangyaku no Lelouch (25) 10/6/2006 - 7/29/2007,972802,62965",8.79
24,"Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen (4) 2/20/1999 - 9/22/1999,165485,4640",8.79
25,"Boku no Hero Academia 2nd Season (25) 4/1/2017 - 9/30/2017,555433,11228",8.77
26,"Monogatari Series: Second Season (26) 7/7/2013 - 12/29/2013,299227,11763",8.77
27,"Mushishi Zoku Shou (10) 4/5/2014 - 6/21/2014,143770,874",8.77
28,"Natsume Yuujinchou Roku (11) 4/12/2017 - 6/21/2017,64281,506",8.75
29,"Great Teacher Onizuka (43) 6/30/1999 - 9/17/2000,355842,13951",8.74
30,"Mushishi (26) 10/23/2005 - 6/19/2006,402744,17849",8.74
31,"Tengen Toppa Gurren Lagann (27) 4/1/2007 - 9/30/2007,775577,49556",8.74
32,"Hajime no Ippo: New Challenger (26) 1/7/2009 - 7/1/2009,124203,1060",8.73
33,"One Punch Man (12) 10/5/2015 - 12/21/2015,994888,30140",8.73
34,"Natsume Yuujinchou Shi (13) 1/3/2012 - 3/27/2012,130966,1387",8.72
35,"Bakuman. 3rd Season (25) 10/6/2012 - 3/30/2013,180516,2061",8.67
36,"Death Note (37) 10/4/2006 - 6/27/2007,1432871,87872",8.67
37,"Hajime no Ippo: Rising (25) 10/6/2013 - 3/29/2014,101167,639",8.67
38,"Ansatsu Kyoushitsu 2nd Season (25) 1/8/2016 - 7/1/2016,369455,6549",8.66
39,"Fate/Zero 2nd Season (12) 4/8/2012 - 6/24/2012,492593,10880",8.66
40,"Haikyuu!! (25) 4/6/2014 - 9/21/2014,473577,23414",8.66
41,"Pingu in the City (26) 10/7/2017 - 3/31/2018,21226,619",8.66
42,"Natsume Yuujinchou San (13) 7/5/2011 - 9/27/2011,137602,973",8.65
43,"Ping Pong The Animation (11) 4/11/2014 - 6/20/2014,144440,6965",8.65
44,"Sora yori mo Tooi Basho (13) 1/2/2018 - 3/27/2018,98573,2008",8.65
45,"Yojouhan Shinwa Taikei (11) 4/23/2010 - 7/2/2010,180689,9301",8.65
46,"JoJo no Kimyou na Bouken: Diamond wa Kudakenai (39) 4/2/2016 - 12/24/2016,176448,6981",8.64
47,"Natsume Yuujinchou Go (11) 10/5/2016 - 12/21/2016,79095,453",8.64
48,"Shouwa Genroku Rakugo Shinjuu (13) 1/9/2016 - 4/2/2016,139271,3226",8.63
49,"Zoku Natsume Yuujinchou (13) 1/6/2009 - 3/31/2009,145985,1206",8.62
50,"Ashita no Joe 2 (47) 10/13/1980 - 8/31/1981,11867,518",8.6
